A=3980 B=4234 C=8564 X=882054624 Y=8738233887 Z=74468850444 M=141
A=3125 B=6140 C=8915 X=283526313 Y=4140767098 Z=99482881733 M=137
A=3201 B=9228 C=7517 X=293647094 Y=1426534218 Z=33391951995 M=165
A=9795 B=7990 C=6994 X=805133873 Y=5933072898 Z=28416947506 M=126
A=6462 B=8247 C=9212 X=372534571 Y=8286266350 Z=63564121288 M=188
A=9928 B=5823 C=6834 X=738542869 Y=2000709549 Z=61575869894 M=143
A=6682 B=4570 C=6518 X=167808623 Y=4716596894 Z=45005885274 M=165
A=7025 B=5396 C=7661 X=358710141 Y=1253974517 Z=53789920326 M=151
A=4295 B=9123 C=9703 X=580876422 Y=7514613567 Z=19534849467 M=190
A=4904 B=7668 C=9086 X=712541448 Y=1827741291 Z=11994995298 M=118
A=2337 B=8993 C=6639 X=994268873 Y=3559366805 Z=68060148389 M=90
A=2264 B=9539 C=5381 X=257220564 Y=8183939468 Z=17906234063 M=199
A=2812 B=7945 C=9396 X=799774556 Y=5436438850 Z=19002912467 M=182
A=3918 B=3583 C=5318 X=323470005 Y=8383468836 Z=36975443047 M=174
A=9922 B=3382 C=6178 X=518287626 Y=4765629871 Z=61821503520 M=152
A=5256 B=8776 C=8378 X=704732673 Y=9655199608 Z=37210572816 M=60
A=4132 B=3982 C=9519 X=815989257 Y=4985504397 Z=39316329759 M=99
A=2666 B=6017 C=5708 X=329870582 Y=5283543267 Z=91542692694 M=61
A=7072 B=6669 C=8805 X=978822164 Y=9152314762 Z=29603980115 M=118
A=5988 B=5747 C=9172 X=281663395 Y=4223365662 Z=15009665407 M=199
A=8457 B=4258 C=8653 X=993165061 Y=1472359002 Z=80453651321 M=168
A=3547 B=9140 C=5361 X=638537501 Y=2109398093 Z=59817860646 M=132
A=3169 B=9225 C=5531 X=213997440 Y=3647686133 Z=78170066031 M=143
A=8449 B=3828 C=5340 X=962906779 Y=7215778101 Z=25867331622 M=72
A=4801 B=9310 C=7905 X=681043935 Y=8383038716 Z=39720248200 M=125
A=3654 B=4331 C=9619 X=648308462 Y=7415951892 Z=73344863190 M=61
A=2973 B=4697 C=8906 X=982701955 Y=8416339886 Z=22969484785 M=150
A=8801 B=3120 C=7573 X=188666112 Y=3439284409 Z=99447284383 M=146
A=2946 B=3598 C=7746 X=980275804 Y=6415645145 Z=40048257742 M=74
A=9788 B=6387 C=5812 X=746909123 Y=1609612251 Z=74081512973 M=179
A=7169 B=5831 C=8679 X=907181466 Y=6692020298 Z=51750744872 M=96
A=3246 B=7163 C=7237 X=300280285 Y=6674382045 Z=80532650720 M=171
A=8847 B=7721 C=9378 X=151687815 Y=3254864152 Z=54471285022 M=121
A=7833 B=8994 C=8295 X=209358564 Y=3605049260 Z=42509022520 M=156
A=6384 B=8652 C=6268 X=358019844 Y=1088975478 Z=81225358881 M=109
A=7339 B=6347 C=9187 X=612330836 Y=3773934031 Z=16911542310 M=190
A=5534 B=6844 C=6516 X=462156052 Y=6193259238 Z=50471876097 M=169
A=2847 B=6551 C=8874 X=430663506 Y=6524189230 Z=11281121682 M=117
A=4132 B=3400 C=8788 X=604558971 Y=7803054127 Z=89243513903 M=74
A=2317 B=8574 C=6286 X=951229825 Y=5264443367 Z=43998383550 M=146
A=7776 B=9307 C=9113 X=476543454 Y=6606263666 Z=59391754600 M=165
A=5720 B=9845 C=8498 X=404489828 Y=4352856174 Z=57300927534 M=183
A=6108 B=7535 C=5864 X=513037709 Y=7811803973 Z=60703166674 M=66
A=9377 B=9483 C=6013 X=794269417 Y=5180702863 Z=13896435104 M=81
A=6668 B=3711 C=6202 X=742015337 Y=3421664269 Z=39072619171 M=129
A=3102 B=4932 C=5014 X=684504147 Y=3729527104 Z=72402696107 M=178
A=4984 B=9496 C=9935 X=233125746 Y=4324101411 Z=12457488612 M=119
A=6500 B=5610 C=5686 X=521421934 Y=7986370484 Z=72240626107 M=156
A=6318 B=6102 C=9200 X=721197608 Y=7117573663 Z=54695072089 M=130
A=3135 B=7937 C=8508 X=435298400 Y=9208443950 Z=62078034691 M=163
A=9141 B=7025 C=8738 X=536025168 Y=4971575877 Z=70415017687 M=82
A=9099 B=7189 C=9090 X=371801971 Y=3822060704 Z=23013032388 M=70
A=6061 B=6654 C=7730 X=962683494 Y=9035346312 Z=67580810143 M=127
A=9607 B=8606 C=5977 X=932764597 Y=5138494019 Z=39378264066 M=95
A=2142 B=3756 C=8002 X=446942573 Y=4145540263 Z=41864288207 M=180
