A=7603 B=7038 C=5398 X=321795239 Y=6246062782 Z=19436890591 M=9086
A=9756 B=3354 C=7658 X=459608554 Y=5277510631 Z=54659613925 M=7910
A=3658 B=8278 C=6411 X=700255471 Y=3891636960 Z=51170888625 M=3436
A=4092 B=6647 C=5953 X=614280130 Y=7947833288 Z=77186322223 M=8112
A=4874 B=5008 C=5194 X=471235325 Y=3061797558 Z=41235100581 M=8245
A=9239 B=8990 C=5799 X=406410883 Y=6264578425 Z=33505039912 M=4653
A=7552 B=4129 C=7781 X=214595756 Y=3144893512 Z=85810995024 M=7818
A=3463 B=6360 C=9147 X=224465133 Y=1404954638 Z=83105893417 M=5958
A=7221 B=3278 C=6975 X=508830616 Y=3751252395 Z=15402682220 M=1254
A=6449 B=3897 C=5702 X=821655296 Y=5996305416 Z=39003761226 M=3892
A=2249 B=5783 C=9014 X=312256244 Y=8198205583 Z=50913412361 M=9251
A=5057 B=7934 C=8600 X=733846144 Y=3204346790 Z=53164226730 M=8549
A=5583 B=8044 C=8648 X=700284359 Y=4946067636 Z=78707504239 M=8140
A=8978 B=7825 C=9520 X=578532826 Y=3656025840 Z=34249186021 M=6303
A=6193 B=9820 C=9352 X=715548371 Y=8644026568 Z=61819108661 M=2859
A=9986 B=3635 C=9859 X=315110069 Y=3887780109 Z=72317111765 M=3229
A=6110 B=3406 C=9442 X=905465465 Y=8788250995 Z=24389394265 M=5084
A=7079 B=8310 C=7543 X=841103230 Y=8229308440 Z=11880553715 M=4770
A=9515 B=6043 C=7461 X=596591835 Y=5477090599 Z=16934623235 M=8440
A=2874 B=9642 C=7907 X=470187498 Y=6692444192 Z=18619942498 M=5075
A=7038 B=5038 C=9550 X=705230622 Y=3921623545 Z=92152810655 M=4238
A=2672 B=5241 C=7575 X=218729541 Y=1146513669 Z=30351807548 M=5401
A=3849 B=5865 C=8897 X=578693554 Y=7728716269 Z=32797410894 M=1608
A=9440 B=9998 C=6117 X=319326724 Y=9379123067 Z=16445292323 M=9488
A=8667 B=3786 C=9262 X=426329408 Y=1879817718 Z=94279412964 M=7599
A=2175 B=4891 C=6831 X=877596220 Y=6335017880 Z=83434445805 M=1460
A=2097 B=8817 C=6947 X=302446591 Y=6163458595 Z=83929019245 M=7427
A=5108 B=3871 C=7289 X=649108043 Y=1630848861 Z=98180668018 M=9569
A=5472 B=3411 C=7349 X=253858218 Y=7310448845 Z=87962053443 M=6487
A=7726 B=7340 C=9145 X=577791332 Y=1120190986 Z=38361530300 M=1629
A=4712 B=9736 C=7229 X=928713412 Y=2187186478 Z=29712897847 M=2039
A=8068 B=3666 C=5582 X=349834083 Y=9425540378 Z=71669033333 M=6672
A=4482 B=5509 C=5930 X=328255364 Y=9556372993 Z=17127286322 M=9264
A=6966 B=9881 C=6828 X=351338520 Y=1359070014 Z=33373995229 M=2230
A=8159 B=3838 C=9727 X=867358857 Y=7535491464 Z=97854570408 M=5125
A=5711 B=7955 C=7260 X=789064632 Y=1675109260 Z=15426309357 M=8651
A=5108 B=7099 C=8298 X=955306883 Y=3724765791 Z=36386536163 M=6513
A=6618 B=9888 C=9873 X=603974662 Y=3591934853 Z=50525452097 M=2512
A=2087 B=3048 C=7356 X=990725273 Y=1991741670 Z=57576055862 M=8879
A=3949 B=9388 C=8624 X=936890265 Y=7755008999 Z=32246046526 M=7616
A=6979 B=8718 C=5650 X=840270448 Y=6938313649 Z=62863937875 M=1007
A=9631 B=4303 C=6175 X=510801767 Y=3837100720 Z=38433073879 M=1487
A=2411 B=6938 C=9168 X=646581777 Y=4244887258 Z=18710598442 M=7401
A=3840 B=5276 C=5536 X=753075470 Y=1175406790 Z=45118970868 M=4040
A=8849 B=3713 C=5795 X=149483853 Y=6831288615 Z=36552512361 M=5575
A=5043 B=8956 C=7241 X=404972194 Y=9604097588 Z=91854497718 M=3541
A=8640 B=6996 C=5062 X=969073215 Y=3778263920 Z=21887486090 M=7597
A=6390 B=6726 C=7632 X=883634706 Y=3938220728 Z=22830297834 M=2205
A=8693 B=8349 C=6741 X=309624457 Y=2368008189 Z=53654883716 M=4057
A=7383 B=5594 C=9063 X=311626753 Y=7896379646 Z=99967083507 M=5617
A=4809 B=4923 C=9846 X=205235381 Y=5137304592 Z=53840736924 M=4087
A=9195 B=6653 C=6485 X=248722150 Y=6819228801 Z=10215908986 M=1905
A=6084 B=3877 C=6014 X=879565964 Y=5242155763 Z=36069741541 M=5706
A=4995 B=3385 C=5142 X=891305073 Y=3600095674 Z=34122718462 M=6147
A=2398 B=8228 C=5513 X=219016184 Y=4282538727 Z=99436622026 M=1462
A=7307 B=9961 C=7971 X=465461004 Y=8423188102 Z=14701729514 M=1292
A=6648 B=5156 C=8602 X=484213069 Y=3390103191 Z=16006248119 M=1419
A=4443 B=7356 C=5463 X=291394290 Y=7160673080 Z=64468156587 M=1411
A=9012 B=7690 C=8968 X=485472974 Y=8037877540 Z=70206220132 M=9834
A=6167 B=3714 C=5906 X=983335491 Y=8385064576 Z=85478079744 M=3579
A=9822 B=4034 C=7437 X=976031488 Y=9297155628 Z=84451082418 M=6951
A=8094 B=7284 C=6769 X=604262503 Y=1010806440 Z=20820260538 M=7736
A=3823 B=6399 C=5439 X=173822222 Y=3645136284 Z=27341356874 M=2154
A=4197 B=6121 C=8964 X=420523590 Y=5282939289 Z=27302688487 M=8998
A=5005 B=9128 C=5036 X=199352287 Y=5622680385 Z=23047754940 M=5772
A=2015 B=8078 C=9074 X=904266351 Y=8778057802 Z=83157128173 M=6830
A=5231 B=3737 C=9212 X=880984090 Y=6002364577 Z=68438987056 M=2636
A=3405 B=5589 C=6405 X=269367812 Y=6230324264 Z=32658143547 M=3083
A=8200 B=3698 C=7103 X=785324712 Y=6546315328 Z=73208142284 M=9238
A=8373 B=4466 C=5423 X=958947294 Y=7143499141 Z=32273595238 M=2090
A=9392 B=8589 C=5744 X=468140684 Y=2178194200 Z=35446489677 M=2922
A=5779 B=6112 C=9781 X=545843788 Y=3683518737 Z=81285070199 M=8671
A=9125 B=4628 C=8684 X=152669132 Y=9566980010 Z=94090311303 M=3345
A=2866 B=7153 C=6221 X=795316670 Y=4092177139 Z=19950427480 M=9653
A=3322 B=3945 C=6747 X=377162168 Y=7118232238 Z=20320928776 M=5341
A=5119 B=7265 C=7483 X=369221441 Y=6565498536 Z=55451414576 M=5915
A=7738 B=7063 C=7959 X=922551868 Y=2869664469 Z=13753263112 M=7903
A=7973 B=9328 C=7483 X=822987393 Y=7630705851 Z=62209831910 M=3739
A=2799 B=5370 C=6625 X=298692177 Y=5677242026 Z=10624509808 M=3870
A=2239 B=4283 C=7902 X=380897677 Y=4901758811 Z=64793745812 M=3994
A=3773 B=9020 C=9580 X=610373368 Y=2055637170 Z=83140585212 M=8407
A=3977 B=5892 C=5963 X=904210293 Y=6618008580 Z=55623919449 M=6973
A=6448 B=9462 C=8322 X=515197503 Y=8387151135 Z=59062565188 M=5311
A=7587 B=5151 C=5380 X=325078922 Y=4783070123 Z=80790171558 M=7818
A=7553 B=8600 C=6636 X=660794843 Y=1039536686 Z=65720447791 M=8943
A=8800 B=4468 C=9929 X=838617493 Y=3846017376 Z=33050271428 M=3891
A=7203 B=8963 C=9533 X=262988505 Y=9334836851 Z=98447221722 M=4328
A=3891 B=4147 C=9385 X=398883151 Y=4196939264 Z=32870096517 M=1598
A=5657 B=4857 C=8034 X=121830553 Y=1128287042 Z=90486054596 M=1280
A=6851 B=8911 C=6272 X=530542613 Y=8783301258 Z=88375699025 M=2218
A=8966 B=6779 C=5766 X=973963857 Y=5065809774 Z=30972327051 M=9907
A=5498 B=6172 C=7596 X=578937394 Y=3270684608 Z=18302815518 M=5813
A=6080 B=5350 C=8436 X=797094521 Y=8740712342 Z=48558211465 M=3184
A=6227 B=9910 C=6061 X=459590931 Y=7853727953 Z=10522751505 M=5526
A=6027 B=6659 C=6590 X=663145227 Y=2359886865 Z=25336692614 M=1709
A=6274 B=9736 C=8160 X=644814241 Y=3422111296 Z=59797303356 M=3924
A=2418 B=4595 C=6362 X=971885659 Y=3377001610 Z=61327079299 M=4373
A=8295 B=3651 C=7632 X=927824427 Y=5388981525 Z=73227717431 M=9439
A=2642 B=4069 C=6208 X=832017573 Y=2639818179 Z=66822915961 M=3489
A=5169 B=9750 C=7627 X=703168820 Y=5292306634 Z=25055863521 M=7106
A=3268 B=6516 C=6138 X=263912198 Y=1793197542 Z=49705240591 M=8733
A=2209 B=9832 C=8644 X=189545695 Y=4568427726 Z=23777352979 M=8491
A=5097 B=6485 C=8977 X=170562917 Y=3345582865 Z=24406857232 M=1811
A=4189 B=8530 C=8618 X=705863597 Y=7216999577 Z=70074560529 M=8187
A=8418 B=4944 C=5787 X=696298414 Y=4266131474 Z=49974596041 M=6874
A=8760 B=9759 C=8058 X=338929587 Y=1095245549 Z=62307775628 M=3405
A=9535 B=5660 C=7525 X=144477564 Y=2022700285 Z=38954367306 M=2848
A=4036 B=8290 C=7106 X=738936162 Y=8760675812 Z=90904254475 M=8343
A=2573 B=7865 C=8213 X=927024214 Y=2733137076 Z=40408015373 M=2428
A=8192 B=8423 C=8838 X=172340168 Y=3001548101 Z=67592978696 M=5308
A=8945 B=7542 C=8966 X=711789844 Y=7303038974 Z=92971770370 M=8504
A=2297 B=4494 C=5625 X=182454150 Y=1851429581 Z=22254402943 M=8190
A=6630 B=6351 C=6673 X=293948273 Y=2934618151 Z=82554510750 M=6803
A=2832 B=8092 C=8090 X=247569944 Y=7666751866 Z=76575597392 M=1319
A=8009 B=3507 C=5249 X=711276799 Y=5367796863 Z=45870987048 M=1884
A=8079 B=7917 C=7327 X=849653911 Y=8952061239 Z=49088528774 M=9382
A=7898 B=7604 C=7002 X=984450497 Y=1424139167 Z=18645037576 M=3525
A=3701 B=7440 C=6849 X=231424009 Y=8028908222 Z=88730915174 M=9790
A=5104 B=7344 C=8402 X=191870097 Y=6003050011 Z=38004363352 M=9008
A=3281 B=5414 C=6659 X=237821190 Y=5465289067 Z=37055297166 M=2179
A=8555 B=5883 C=6764 X=193959666 Y=4157826753 Z=34285655167 M=1157
A=3520 B=4293 C=8459 X=580679582 Y=3551080468 Z=72988049025 M=2394
A=6290 B=4536 C=6203 X=601915078 Y=8397632712 Z=16015716561 M=9732
A=8728 B=5256 C=7824 X=130433688 Y=6849279567 Z=41751244902 M=7322
A=7965 B=4825 C=9130 X=468937328 Y=9244777582 Z=86998539184 M=9575
A=4109 B=3296 C=7316 X=497535465 Y=4351832399 Z=97678454576 M=3189
A=6182 B=9817 C=7590 X=100126950 Y=1597786007 Z=20867442733 M=3652
A=2681 B=6733 C=5033 X=255831070 Y=9598722234 Z=64503528985 M=6865
A=6929 B=6288 C=9866 X=468922310 Y=3232434891 Z=40319610365 M=1963
A=3951 B=6351 C=9191 X=759093705 Y=2100822395 Z=31334040029 M=2217
A=2645 B=9867 C=8456 X=985507266 Y=3308938684 Z=57759223749 M=7413
A=4769 B=4773 C=5578 X=587931541 Y=8250025907 Z=75748243024 M=1534
A=3378 B=3694 C=5872 X=783639256 Y=2604115339 Z=46803544438 M=3904
A=5997 B=8073 C=8302 X=396692355 Y=9214420600 Z=76088024762 M=9682
A=4420 B=5375 C=7065 X=163650666 Y=1518423676 Z=40178868564 M=4119
A=8946 B=8518 C=5501 X=348534769 Y=8668959565 Z=93883511843 M=7977
A=5442 B=6640 C=6152 X=122103303 Y=9564960809 Z=82379562418 M=4571
A=8123 B=5953 C=7689 X=318864655 Y=2533554133 Z=32338592572 M=2118
A=7824 B=8985 C=9448 X=221364312 Y=9863522434 Z=40703735689 M=8338
A=2190 B=5781 C=6010 X=797151968 Y=1884548561 Z=88376711949 M=4957
A=4075 B=3334 C=8277 X=426835971 Y=9666878793 Z=32761285120 M=7415
A=2040 B=9652 C=9159 X=388351898 Y=1106759638 Z=53891493287 M=1502
A=3550 B=4714 C=5853 X=655966356 Y=1848384870 Z=46464332779 M=9684
A=8214 B=7044 C=9036 X=621347589 Y=8834760356 Z=34832893320 M=7891
A=8625 B=8243 C=8945 X=722317043 Y=5810094513 Z=23043029476 M=3202
A=5304 B=7351 C=8787 X=258855237 Y=6479280937 Z=62089973494 M=2786
A=4855 B=9856 C=5244 X=144753460 Y=2614286702 Z=88938961499 M=4554
A=9616 B=6696 C=5112 X=726285003 Y=4560711333 Z=67712196492 M=7238
A=7788 B=3027 C=5877 X=322542031 Y=7010453941 Z=22671545053 M=4576
A=5755 B=6158 C=8843 X=897077935 Y=7711938132 Z=94193654271 M=3260
A=5933 B=5908 C=5061 X=863648070 Y=5453584065 Z=14262706247 M=7291
A=4476 B=6850 C=8646 X=876396672 Y=9903729815 Z=72432319011 M=8349
A=5087 B=3369 C=6341 X=423822723 Y=6508733853 Z=58198076960 M=3097
A=7881 B=7757 C=9391 X=939518715 Y=9563663679 Z=30989924415 M=3183
A=5759 B=8475 C=7539 X=538208836 Y=1318848546 Z=55665306177 M=5381
A=9718 B=4370 C=6546 X=442700742 Y=8801963988 Z=46745290095 M=9961
A=4771 B=8532 C=6372 X=142499035 Y=7474199301 Z=21009388052 M=1611
A=2833 B=9590 C=5210 X=863773901 Y=9881419214 Z=41344981164 M=7025
A=2166 B=6360 C=8126 X=194110619 Y=2181228275 Z=58523516172 M=2740
A=8896 B=5636 C=8971 X=732695236 Y=7980005740 Z=84459577863 M=2063
A=6246 B=7669 C=7026 X=661941472 Y=4456507122 Z=59768571145 M=9506
A=5860 B=3502 C=8572 X=734928565 Y=1464660592 Z=10847929218 M=1854
A=4336 B=6498 C=9125 X=907910741 Y=9513218745 Z=22688987395 M=9676
A=7326 B=3395 C=7195 X=499467183 Y=7619161607 Z=46289003000 M=6790
A=6078 B=3836 C=6343 X=998690910 Y=3677632823 Z=91653970845 M=6850
A=9547 B=3907 C=9381 X=103623550 Y=8200578133 Z=70791120086 M=3313
A=6348 B=7207 C=5659 X=230094746 Y=7166683139 Z=38279212792 M=9823
A=5762 B=4412 C=9943 X=507389520 Y=6330612212 Z=34849707479 M=2018
A=9388 B=4947 C=5671 X=232165084 Y=8028616669 Z=42648192764 M=5514
A=9285 B=4711 C=5687 X=930774095 Y=3351728111 Z=12677797378 M=4626
A=6307 B=9096 C=6164 X=148026612 Y=9536696501 Z=96569772948 M=4587
A=7146 B=6777 C=7555 X=515753067 Y=2194937641 Z=80733133056 M=4768
A=8858 B=5443 C=6804 X=927606783 Y=6471878457 Z=21451593860 M=2399
A=8141 B=6063 C=8504 X=243231139 Y=5972616132 Z=42070467077 M=8173
A=9013 B=5684 C=9697 X=929213494 Y=6462330210 Z=30223792387 M=3351
A=2194 B=8772 C=7247 X=443805843 Y=8352877557 Z=67411692228 M=4372
A=6855 B=8097 C=7030 X=407423219 Y=4398770702 Z=38890407836 M=4988
A=4283 B=8595 C=6558 X=157430194 Y=2139509561 Z=13461438437 M=8494
A=5557 B=9660 C=8587 X=786171712 Y=8124883182 Z=42248866914 M=7018
A=9689 B=3397 C=9360 X=589192185 Y=3326348939 Z=63034454110 M=1109
A=5802 B=5963 C=6666 X=627641705 Y=4453269659 Z=60479687298 M=2840
A=6148 B=6469 C=8062 X=482558866 Y=6326407129 Z=63188845129 M=2988
A=3442 B=5750 C=5936 X=607915916 Y=7300471012 Z=60238566243 M=5374
A=4020 B=6525 C=7968 X=525875457 Y=7993993406 Z=91134655385 M=8554
A=2811 B=8449 C=8022 X=902676123 Y=3318918428 Z=56417507452 M=4083
A=6371 B=7770 C=9220 X=369534890 Y=7811254099 Z=45022942777 M=8882
A=4812 B=5949 C=6387 X=791799694 Y=7552262863 Z=88830399214 M=5933
A=8953 B=9597 C=6621 X=420534501 Y=2542862143 Z=93812228999 M=1840
A=3665 B=3886 C=8527 X=834132398 Y=3048991766 Z=15280009170 M=8524
A=6579 B=6205 C=8546 X=515598275 Y=2757444873 Z=61175226576 M=9811
A=7816 B=8802 C=5143 X=481487778 Y=7414162783 Z=49539299215 M=6272
A=7723 B=4765 C=6809 X=730962735 Y=3464482958 Z=73094354391 M=1405
A=3798 B=9957 C=7318 X=266312680 Y=4535464774 Z=41119165891 M=6261
A=7734 B=3059 C=8473 X=303747426 Y=6596602707 Z=16329914076 M=8048
A=8641 B=5932 C=8393 X=412928226 Y=6425051650 Z=73516126477 M=8020
A=8312 B=7924 C=9073 X=847437741 Y=6545064362 Z=53884166128 M=7201
A=3308 B=9825 C=9995 X=782530342 Y=7274999872 Z=77046229193 M=5006
A=8351 B=5641 C=8706 X=569195495 Y=5214458474 Z=48754300258 M=3351
A=3523 B=4168 C=9748 X=646918227 Y=4353914267 Z=95858541105 M=8310
A=4881 B=3821 C=9213 X=256976125 Y=4539309598 Z=50156839036 M=8024
A=9164 B=6595 C=6149 X=429317512 Y=8824783715 Z=69758344310 M=3624
A=5044 B=5683 C=7124 X=639878103 Y=2802182000 Z=22388973443 M=5942
A=5610 B=6207 C=5465 X=807971407 Y=1480270448 Z=38930349462 M=5328
A=6757 B=6193 C=8042 X=296697794 Y=9760795605 Z=43656097289 M=2866
A=2864 B=3827 C=6052 X=580590180 Y=8411348881 Z=52379482137 M=8984
A=2668 B=8623 C=5080 X=816208067 Y=6968381432 Z=61108880773 M=7024
A=5359 B=8099 C=7758 X=643708172 Y=1238440755 Z=23473752714 M=6676
A=6843 B=5278 C=9739 X=346168742 Y=4922367548 Z=18083425892 M=9783
A=8076 B=6731 C=8941 X=664504546 Y=9217566268 Z=38923995380 M=5487
A=6776 B=8455 C=7014 X=684773744 Y=2328918019 Z=99385629540 M=5784
A=7191 B=8546 C=8486 X=378134436 Y=1838702043 Z=30964009028 M=1962
A=6101 B=5068 C=6315 X=724588967 Y=5515263325 Z=85133846203 M=6555
A=6182 B=8031 C=6948 X=334886440 Y=5822557912 Z=91208494204 M=8752
A=7210 B=6672 C=6040 X=668169657 Y=7460115366 Z=85490129985 M=6353
A=2578 B=3185 C=7074 X=528652945 Y=6596061510 Z=32600773727 M=2855
A=8817 B=4993 C=8164 X=125122784 Y=7820897699 Z=95070921554 M=2110
A=2905 B=5410 C=9440 X=295761866 Y=4487777257 Z=23929409798 M=1947
A=7086 B=8319 C=5383 X=990164839 Y=2408243651 Z=26880922122 M=5813
A=9643 B=5500 C=8251 X=400164548 Y=5915994948 Z=56266262558 M=3057
A=3307 B=7983 C=5673 X=906934788 Y=9095289211 Z=68359145970 M=3113
A=4383 B=5308 C=8095 X=137586054 Y=8296401655 Z=33360394046 M=6230
A=5500 B=9795 C=9628 X=830773641 Y=5919330358 Z=83054086773 M=2059
A=5594 B=4935 C=8496 X=773481173 Y=7896857400 Z=59573801924 M=5208
A=9511 B=8871 C=6030 X=455307259 Y=1959453137 Z=91623135105 M=5162
A=5922 B=6611 C=7674 X=506222073 Y=4931556910 Z=71123317478 M=5189
A=5151 B=9135 C=6032 X=833331433 Y=8479746479 Z=26296495345 M=7928
A=4429 B=5524 C=9226 X=410035778 Y=1536419777 Z=97433237381 M=8188
A=7391 B=3472 C=9135 X=621944260 Y=2267350250 Z=17375969382 M=2355
A=9394 B=5811 C=7486 X=399054426 Y=4430902723 Z=27193049515 M=8317
A=3153 B=7633 C=5394 X=763645379 Y=5810095033 Z=92060115162 M=1383
A=3019 B=4044 C=5427 X=443525920 Y=4184753547 Z=31124885347 M=2787
A=5539 B=4887 C=6987 X=458648205 Y=5049592978 Z=54401104595 M=9489
A=4668 B=6432 C=8403 X=666287280 Y=8274167537 Z=14359514345 M=5703
A=3802 B=9935 C=9846 X=795771558 Y=4665630448 Z=97944556714 M=4819
A=2160 B=3640 C=7682 X=709761277 Y=2022315225 Z=54484207878 M=7991
A=7143 B=5164 C=7907 X=763884615 Y=4202336415 Z=60507730310 M=9354
A=5362 B=6637 C=9545 X=989163004 Y=6832086509 Z=89784275537 M=9951
A=6693 B=8711 C=6973 X=359043773 Y=8547450771 Z=43839622715 M=6758
A=6254 B=3685 C=7991 X=254626324 Y=9270801325 Z=99761127081 M=7569
A=5985 B=7881 C=8417 X=213117318 Y=1687313992 Z=26202741216 M=9951
A=6228 B=4579 C=6471 X=810598238 Y=3551308778 Z=34824801695 M=4531
A=4063 B=8681 C=9382 X=269695291 Y=1052802881 Z=30830689415 M=1376
A=9598 B=8952 C=6386 X=506901952 Y=4072464539 Z=12824909784 M=4108
A=2679 B=6130 C=9931 X=808491791 Y=1137163094 Z=52006883806 M=3442
